,name,file_name,index,distance,image_num_vals,type_image,phi_val,post_act_phi_val
0,Random_binary_images_2,simple_standard_modified,0,2,14585,train,20.688796997070312,1.0
1,Random_binary_images_2,simple_standard_modified,1,2,10838,test,19.47039222717285,1.0
2,Random_binary_images_2,simple_standard_modified,2,1,10838,random,-0.8588712811470032,0.2975752353668213
3,Random_binary_images_2,simple_standard_modified,3,1,43368,train,8.737606048583984,0.9998395442962646
4,Random_binary_images_2,simple_standard_modified,4,2,574,test,18.701927185058594,1.0
5,Random_binary_images_2,simple_standard_modified,5,1,574,random,-1.2570925951004028,0.2214747965335846
6,Random_binary_images_2,simple_standard_modified,6,1,23568,train,23.156803131103516,1.0
7,Random_binary_images_2,simple_standard_modified,7,1,9280,test,3.4043445587158203,0.9678400158882141
8,Random_binary_images_2,simple_standard_modified,8,3,9280,random,1.8206415176391602,0.8606430888175964
9,Random_binary_images_2,simple_standard_modified,9,1,42161,train,-14.8099365234375,3.699356057040859e-07
10,Random_binary_images_2,simple_standard_modified,10,1,6279,test,27.765207290649414,1.0
11,Random_binary_images_2,simple_standard_modified,11,1,6279,random,-0.008494272828102112,0.4978764057159424
12,Random_binary_images_2,simple_standard_modified,12,1,3681,train,13.200065612792969,0.9999980926513672
13,Random_binary_images_2,simple_standard_modified,13,1,1091,test,-7.413365364074707,0.000602773972786963
14,Random_binary_images_2,simple_standard_modified,14,2,1091,random,-0.2797221541404724,0.4305219054222107
15,Random_binary_images_2,simple_standard_modified,15,2,34514,train,27.475427627563477,1.0
16,Random_binary_images_2,simple_standard_modified,16,1,9354,test,-0.6181393265724182,0.350204735994339
17,Random_binary_images_2,simple_standard_modified,17,4,9354,random,4.993712425231934,0.9932651519775391
18,Random_binary_images_2,simple_standard_modified,18,1,14418,train,-7.27135705947876,0.0006946850917302072
19,Random_binary_images_2,simple_standard_modified,19,1,12005,test,9.585016250610352,0.9999312162399292
20,Random_binary_images_2,simple_standard_modified,20,9,12005,random,6.827187538146973,0.9989173412322998
21,Random_binary_images_2,simple_standard_modified,21,2,39109,train,-13.087454795837402,2.071045855700504e-06
22,Random_binary_images_2,simple_standard_modified,22,1,8295,test,11.497617721557617,0.9999898672103882
23,Random_binary_images_2,simple_standard_modified,23,5,8295,random,2.498774290084839,0.9240558743476868
24,Random_binary_images_2,simple_standard_modified,24,2,26076,train,34.8195686340332,1.0
25,Random_binary_images_2,simple_standard_modified,25,7,9516,test,-17.704469680786133,2.046663816201999e-08
26,Random_binary_images_2,simple_standard_modified,26,1,9516,random,0.36997294425964355,0.5914524793624878
27,Random_binary_images_2,simple_standard_modified,27,1,14805,train,10.620951652526855,0.9999755620956421
28,Random_binary_images_2,simple_standard_modified,28,1,1374,test,7.657329082489014,0.9995276927947998
29,Random_binary_images_2,simple_standard_modified,29,3,1374,random,9.23388385772705,0.9999023675918579
30,Random_binary_images_2,simple_standard_modified,30,1,39127,train,9.920380592346191,0.9999508857727051
31,Random_binary_images_2,simple_standard_modified,31,2,4755,test,-20.117694854736328,0.0
32,Random_binary_images_2,simple_standard_modified,32,4,4755,random,4.701888561248779,0.9910035133361816
33,Random_binary_images_2,simple_standard_modified,33,1,14182,train,-12.18770980834961,5.092636456538457e-06
34,Random_binary_images_2,simple_standard_modified,34,1,1220,test,-11.391329765319824,1.1292846465948969e-05
35,Random_binary_images_2,simple_standard_modified,35,1,1220,random,2.841938018798828,0.9449004530906677
36,Random_binary_images_2,simple_standard_modified,36,1,28423,train,10.996664047241211,0.9999831914901733
37,Random_binary_images_2,simple_standard_modified,37,1,2490,test,4.840921401977539,0.9921621680259705
38,Random_binary_images_2,simple_standard_modified,38,2,2490,random,-3.616311550140381,0.026177939027547836
39,Random_binary_images_2,simple_standard_modified,39,2,22532,train,21.41952133178711,1.0
40,Random_binary_images_2,simple_standard_modified,40,8,10036,test,-26.862390518188477,0.0
41,Random_binary_images_2,simple_standard_modified,41,6,10036,random,4.570775985717773,0.989756166934967
42,Random_binary_images_2,simple_standard_modified,42,2,33199,train,-8.908750534057617,0.0001351823884760961
43,Random_binary_images_2,simple_standard_modified,43,1,8262,test,11.5801420211792,0.999990701675415
44,Random_binary_images_2,simple_standard_modified,44,2,8262,random,1.8936210870742798,0.8691678047180176
45,Random_binary_images_2,simple_standard_modified,45,2,38716,train,20.268583297729492,1.0
46,Random_binary_images_2,simple_standard_modified,46,2,9231,test,24.148456573486328,1.0
47,Random_binary_images_2,simple_standard_modified,47,1,9231,random,0.006021559238433838,0.5015053749084473
48,Random_binary_images_2,simple_standard_modified,48,1,21547,train,-10.421823501586914,2.9774646463920362e-05
49,Random_binary_images_2,simple_standard_modified,49,1,6177,test,-5.002071380615234,0.006679094396531582
50,Random_binary_images_2,simple_standard_modified,50,1,6177,random,0.33620554208755493,0.5832685232162476
51,Random_binary_images_2,simple_standard_modified,51,1,14500,train,2.4481847286224365,0.9204286336898804
52,Random_binary_images_2,simple_standard_modified,52,1,13799,test,8.115819931030273,0.9997013211250305
53,Random_binary_images_2,simple_standard_modified,53,8,13799,random,7.271799564361572,0.9993056058883667
54,Random_binary_images_2,simple_standard_modified,54,1,16640,train,20.201021194458008,1.0
55,Random_binary_images_2,simple_standard_modified,55,6,1693,test,-20.585803985595703,0.0
56,Random_binary_images_2,simple_standard_modified,56,3,1693,random,5.559849262237549,0.99616539478302
57,Random_binary_images_2,simple_standard_modified,57,1,16898,train,18.74758529663086,1.0
58,Random_binary_images_2,simple_standard_modified,58,1,1227,test,-0.9574810862541199,0.2773827910423279
59,Random_binary_images_2,simple_standard_modified,59,1,1227,random,0.6704729795455933,0.6616090536117554
60,Random_binary_images_2,simple_standard_modified,60,2,37388,train,28.44732093811035,1.0
61,Random_binary_images_2,simple_standard_modified,61,2,5435,test,-15.8555326461792,1.300258247738384e-07
62,Random_binary_images_2,simple_standard_modified,62,1,5435,random,-1.6449246406555176,0.16179607808589935
63,Random_binary_images_2,simple_standard_modified,63,1,18871,train,-3.5797629356384277,0.027125973254442215
64,Random_binary_images_2,simple_standard_modified,64,3,5458,test,-19.555700302124023,0.0
65,Random_binary_images_2,simple_standard_modified,65,6,5458,random,4.89879035949707,0.992599606513977
66,Random_binary_images_2,simple_standard_modified,66,2,4188,train,20.79045295715332,1.0
67,Random_binary_images_2,simple_standard_modified,67,1,11883,test,12.813872337341309,0.9999972581863403
68,Random_binary_images_2,simple_standard_modified,68,9,11883,random,7.1189165115356445,0.9991909861564636
69,Random_binary_images_2,simple_standard_modified,69,1,43712,train,-6.846351623535156,0.0010621985420584679
70,Random_binary_images_2,simple_standard_modified,70,1,14688,test,16.806537628173828,1.0
71,Random_binary_images_2,simple_standard_modified,71,11,14688,random,8.734676361083984,0.9998390674591064
72,Random_binary_images_2,simple_standard_modified,72,2,14234,train,15.070865631103516,0.9999997615814209
73,Random_binary_images_2,simple_standard_modified,73,1,14290,test,8.943782806396484,0.9998694658279419
74,Random_binary_images_2,simple_standard_modified,74,3,14290,random,5.473333358764648,0.9958202838897705
75,Random_binary_images_2,simple_standard_modified,75,1,39765,train,-12.962451934814453,2.3468085146305384e-06
76,Random_binary_images_2,simple_standard_modified,76,1,9982,test,-8.664325714111328,0.00017260611639358103
77,Random_binary_images_2,simple_standard_modified,77,1,9982,random,1.2167350053787231,0.7714884877204895
78,Random_binary_images_2,simple_standard_modified,78,2,27592,train,-14.358162879943848,5.81204346872255e-07
79,Random_binary_images_2,simple_standard_modified,79,2,14673,test,20.969932556152344,1.0
80,Random_binary_images_2,simple_standard_modified,80,8,14673,random,12.034036636352539,0.9999940395355225
81,Random_binary_images_2,simple_standard_modified,81,1,17630,train,7.778816223144531,0.9995816349983215
82,Random_binary_images_2,simple_standard_modified,82,1,14865,test,16.464385986328125,0.9999998807907104
83,Random_binary_images_2,simple_standard_modified,83,2,14865,random,3.592634916305542,0.9732117056846619
84,Random_binary_images_2,simple_standard_modified,84,1,25141,train,26.68509864807129,1.0
85,Random_binary_images_2,simple_standard_modified,85,1,13313,test,14.297269821166992,0.9999994039535522
86,Random_binary_images_2,simple_standard_modified,86,4,13313,random,5.702680587768555,0.9966740608215332
87,Random_binary_images_2,simple_standard_modified,87,1,23749,train,11.568350791931152,0.9999905824661255
88,Random_binary_images_2,simple_standard_modified,88,1,13679,test,-6.279989242553711,0.0018699177308008075
89,Random_binary_images_2,simple_standard_modified,89,10,13679,random,4.46758508682251,0.9886552095413208
90,Random_binary_images_2,simple_standard_modified,90,1,35196,train,18.963497161865234,1.0
91,Random_binary_images_2,simple_standard_modified,91,1,7255,test,-12.302399635314941,4.54081418865826e-06
92,Random_binary_images_2,simple_standard_modified,92,5,7255,random,3.855886697769165,0.9792833924293518
93,Random_binary_images_2,simple_standard_modified,93,1,2347,train,-5.489427089691162,0.004113221075385809
94,Random_binary_images_2,simple_standard_modified,94,1,7726,test,20.457752227783203,1.0
95,Random_binary_images_2,simple_standard_modified,95,1,7726,random,1.9026985168457031,0.8701966404914856
96,Random_binary_images_2,simple_standard_modified,96,1,31796,train,7.601174354553223,0.9995003938674927
97,Random_binary_images_2,simple_standard_modified,97,1,10606,test,10.110452651977539,0.9999593496322632
98,Random_binary_images_2,simple_standard_modified,98,1,10606,random,1.2814083099365234,0.7826893925666809
99,Random_binary_images_2,simple_standard_modified,99,1,37425,train,14.759933471679688,0.9999996423721313
100,Random_binary_images_2,simple_standard_modified,100,2,9522,test,-17.95134735107422,1.5989279233963316e-08
101,Random_binary_images_2,simple_standard_modified,101,1,9522,random,1.8470741510391235,0.8637831807136536
102,Random_binary_images_2,simple_standard_modified,102,1,3742,train,-11.271326065063477,1.2732678442262113e-05
103,Random_binary_images_2,simple_standard_modified,103,1,8552,test,-7.262989044189453,0.0007005184888839722
104,Random_binary_images_2,simple_standard_modified,104,2,8552,random,-1.9426182508468628,0.12536050379276276
105,Random_binary_images_2,simple_standard_modified,105,2,31335,train,20.871051788330078,1.0
106,Random_binary_images_2,simple_standard_modified,106,2,13488,test,27.220659255981445,1.0
107,Random_binary_images_2,simple_standard_modified,107,5,13488,random,4.340641021728516,0.9871394038200378
108,Random_binary_images_2,simple_standard_modified,108,2,20344,train,27.168251037597656,1.0
109,Random_binary_images_2,simple_standard_modified,109,1,11110,test,13.321409225463867,0.9999983310699463
110,Random_binary_images_2,simple_standard_modified,110,2,11110,random,1.955920696258545,0.8760908246040344
111,Random_binary_images_2,simple_standard_modified,111,3,14947,train,-22.17542839050293,0.0
112,Random_binary_images_2,simple_standard_modified,112,1,7074,test,7.224171161651611,0.999271810054779
113,Random_binary_images_2,simple_standard_modified,113,10,7074,random,3.072335720062256,0.9557371139526367
114,Random_binary_images_2,simple_standard_modified,114,2,12155,train,25.947423934936523,1.0
115,Random_binary_images_2,simple_standard_modified,115,1,2748,test,23.131433486938477,1.0
116,Random_binary_images_2,simple_standard_modified,116,3,2748,random,5.800774574279785,0.9969839453697205
117,Random_binary_images_2,simple_standard_modified,117,2,25209,train,21.718523025512695,1.0
118,Random_binary_images_2,simple_standard_modified,118,1,6743,test,-7.539972305297852,0.0005311300628818572
119,Random_binary_images_2,simple_standard_modified,119,2,6743,random,-2.7540485858917236,0.05985840782523155
